year	stock	survey	n_tow	kg_tow		
2013	fluke	NMFS spring BTS	1.802	1.477		
2014	fluke	NMFS spring BTS	1.32	1.208		
2015	fluke	NMFS spring BTS	2.566	1.538		
2016	fluke	NMFS spring BTS	1.05	0.942		
2017	fluke	NMFS spring BTS	1.071	0.822		
1982	fluke	NMFS fall BTS	1.57	0.9		
1983	fluke	NMFS fall BTS	0.9	0.47		
1984	fluke	NMFS fall BTS	0.99	0.65		
1985	fluke	NMFS fall BTS	1.24	0.87		
1986	fluke	NMFS fall BTS	0.68	0.45		
1987	fluke	NMFS fall BTS	0.26	0.28		
1988	fluke	NMFS fall BTS	0.11	0.11		
1989	fluke	NMFS fall BTS	0.2	0.08		
1990	fluke	NMFS fall BTS	0.27	0.19		
1991	fluke	NMFS fall BTS	0.51	0.17		
1992	fluke	NMFS fall BTS	0.85	0.49		
1993	fluke	NMFS fall BTS	0.11	0.04		
1994	fluke	NMFS fall BTS	0.6	0.35		
1995	fluke	NMFS fall BTS	1.13	0.83		
1996	fluke	NMFS fall BTS	0.71	0.45		
1997	fluke	NMFS fall BTS	1.32	0.92		
1998	fluke	NMFS fall BTS	2.32	1.58		
1999	fluke	NMFS fall BTS	2.42	1.66		
2000	fluke	NMFS fall BTS	1.9	1.82		
2001	fluke	NMFS fall BTS	1.56	1.55		
2002	fluke	NMFS fall BTS	1.32	1.4		
2003	fluke	NMFS fall BTS	2	1.93		
2004	fluke	NMFS fall BTS	3	3.06		
2005	fluke	NMFS fall BTS	1.57	1.83		
2006	fluke	NMFS fall BTS	2.1	1.79		
2007	fluke	NMFS fall BTS	2.21	2.45		
2008	fluke	NMFS fall BTS	1.38	1.62		
2009	fluke	NMFS fall BTS	2.936	2.626		
2010	fluke	NMFS fall BTS	1.441	1.374		
2011	fluke	NMFS fall BTS	2.354	2.686		
2012	fluke	NMFS fall BTS	1.422	1.773		
2013	fluke	NMFS fall BTS	1.214	1.606		
2014	fluke	NMFS fall BTS	2.191	2.178		
2015	fluke	NMFS fall BTS	1.462	1.628		
2016	fluke	NMFS fall BTS	1.649	2.057		
2017	fluke	NMFS fall BTS	NA	NA		
1978	whitehake	NMFS spring BTS	3.367	6.254		
1979	whitehake	NMFS spring BTS	5.856	5.693		
1980	whitehake	NMFS spring BTS	11.896	15.607		
1981	whitehake	NMFS spring BTS	17.888	21.612		
1982	whitehake	NMFS spring BTS	6.635	10.031		
1983	whitehake	NMFS spring BTS	3.226	3.232		
1984	whitehake	NMFS spring BTS	2.714	4.605		
1985	whitehake	NMFS spring BTS	4.707	6.056		
1986	whitehake	NMFS spring BTS	8.821	6.083		
1987	whitehake	NMFS spring BTS	7.695	7.079		
1988	whitehake	NMFS spring BTS	4.711	4.103		
1989	whitehake	NMFS spring BTS	3.532	3.44		
1990	whitehake	NMFS spring BTS	12.323	20.805		
1991	whitehake	NMFS spring BTS	9.015	6.813		
1992	whitehake	NMFS spring BTS	7.872	7.485		
1993	whitehake	NMFS spring BTS	8.124	7.584		
1994	whitehake	NMFS spring BTS	4.513	3.415		
1995	whitehake	NMFS spring BTS	4.185	4.283		
1996	whitehake	NMFS spring BTS	3.009	3.426		
1997	whitehake	NMFS spring BTS	1.875	0.893		
1998	whitehake	NMFS spring BTS	2.233	1.168		
1999	whitehake	NMFS spring BTS	3.344	3.095		
2000	whitehake	NMFS spring BTS	5.366	3.692		
2001	whitehake	NMFS spring BTS	4.912	5.21		
2002	whitehake	NMFS spring BTS	5.342	6.605		
2003	whitehake	NMFS spring BTS	5.337	6.203		
2004	whitehake	NMFS spring BTS	4.747	5.477		
2005	whitehake	NMFS spring BTS	3.752	5.763		
2006	whitehake	NMFS spring BTS	2.504	1.586		
2007	whitehake	NMFS spring BTS	2.656	3.099		
2008	whitehake	NMFS spring BTS	6.877	4.246		
2009	whitehake	NMFS spring BTS	6.759	4.767		
2010	whitehake	NMFS spring BTS	5.411	5.652		
2011	whitehake	NMFS spring BTS	5.095	5.521		
2012	whitehake	NMFS spring BTS	4.204	4.209		
2013	whitehake	NMFS spring BTS	2.483	2.286		
2014	whitehake	NMFS spring BTS	3.169	3.595		
1978	whitehake	NMFS fall BTS	8.343	13.323		
1979	whitehake	NMFS fall BTS	5.561	10.568		
1980	whitehake	NMFS fall BTS	12.001	18.41		
1981	whitehake	NMFS fall BTS	8.428	11.87		
1982	whitehake	NMFS fall BTS	1.876	1.954		
1983	whitehake	NMFS fall BTS	8.991	11.513		
1984	whitehake	NMFS fall BTS	5.173	8.152		
1985	whitehake	NMFS fall BTS	9.46	9.795		
1986	whitehake	NMFS fall BTS	15.181	11.45		
1987	whitehake	NMFS fall BTS	7.852	9.801		
1988	whitehake	NMFS fall BTS	8.54	10.43		
1989	whitehake	NMFS fall BTS	12.538	9.255		
1990	whitehake	NMFS fall BTS	13.861	10.895		
1991	whitehake	NMFS fall BTS	13.672	12.541		
1992	whitehake	NMFS fall BTS	10.746	11.843		
1993	whitehake	NMFS fall BTS	10.504	12.039		
1994	whitehake	NMFS fall BTS	7.381	5.924		
1995	whitehake	NMFS fall BTS	10.072	8.439		
1996	whitehake	NMFS fall BTS	4.684	6.651		
1997	whitehake	NMFS fall BTS	5.031	4.896		
1998	whitehake	NMFS fall BTS	4.958	4.737		
1999	whitehake	NMFS fall BTS	6.154	3.648		
2000	whitehake	NMFS fall BTS	7.569	6.8		
2001	whitehake	NMFS fall BTS	5.704	7.852		
2002	whitehake	NMFS fall BTS	6.861	6.72		
2003	whitehake	NMFS fall BTS	4.031	4.531		
2004	whitehake	NMFS fall BTS	3.55	3.695		
2005	whitehake	NMFS fall BTS	3.585	3.837		
2006	whitehake	NMFS fall BTS	4.751	4.272		
2007	whitehake	NMFS fall BTS	6.636	7.222		
2008	whitehake	NMFS fall BTS	7.345	7.056		
2009	whitehake	NMFS fall BTS	5.327	4.76		
2010	whitehake	NMFS fall BTS	7.951	7.854		
2011	whitehake	NMFS fall BTS	6.945	9.02		
2012	whitehake	NMFS fall BTS	5.38	7.739		
2013	whitehake	NMFS fall BTS	3.576	2.822		
2014	whitehake	NMFS fall BTS	3.651	4.219		
1963	Gbwinter	NMFS spring BTS	1.94	3.02		
1964	Gbwinter	NMFS spring BTS	1.75	2.77		
1965	Gbwinter	NMFS spring BTS	2.7	3.03		
1966	Gbwinter	NMFS spring BTS	4.79	5.26		
1967	Gbwinter	NMFS spring BTS	1.78	2.11		
1968	Gbwinter	NMFS spring BTS	2.66	2.99		
1969	Gbwinter	NMFS spring BTS	2.95	4.02		
1970	Gbwinter	NMFS spring BTS	1.81	2.2		
1971	Gbwinter	NMFS spring BTS	1.71	2.04		
1972	Gbwinter	NMFS spring BTS	4.71	4.9		
1973	Gbwinter	NMFS spring BTS	1.34	1.73		
1974	Gbwinter	NMFS spring BTS	3.19	3.16		
1975	Gbwinter	NMFS spring BTS	0.92	0.72		
1976	Gbwinter	NMFS spring BTS	2.23	1.57		
1977	Gbwinter	NMFS spring BTS	1.95	0.9		
1978	Gbwinter	NMFS spring BTS	3.25	2.52		
1979	Gbwinter	NMFS spring BTS	0.79	1.09		
1980	Gbwinter	NMFS spring BTS	1.63	1.45		
1981	Gbwinter	NMFS spring BTS	1.92	2		
1982	Gbwinter	NMFS spring BTS	2.42	1.57		
1983	Gbwinter	NMFS spring BTS	8.29	6.93		
1984	Gbwinter	NMFS spring BTS	5.12	5.22		
1985	Gbwinter	NMFS spring BTS	3.54	2.44		
1986	Gbwinter	NMFS spring BTS	2.1	1.26		
1987	Gbwinter	NMFS spring BTS	2.61	1.16		
1988	Gbwinter	NMFS spring BTS	2.68	1.51		
1989	Gbwinter	NMFS spring BTS	1.25	0.73		
1990	Gbwinter	NMFS spring BTS	2.65	1.48		
1991	Gbwinter	NMFS spring BTS	2.21	1.21		
1992	Gbwinter	NMFS spring BTS	1.34	0.83		
1993	Gbwinter	NMFS spring BTS	1	0.58		
1994	Gbwinter	NMFS spring BTS	1.25	0.56		
1995	Gbwinter	NMFS spring BTS	2.42	1.38		
1996	Gbwinter	NMFS spring BTS	2.12	1.38		
1997	Gbwinter	NMFS spring BTS	1.48	1.09		
1998	Gbwinter	NMFS spring BTS	0.78	0.71		
1999	Gbwinter	NMFS spring BTS	3.56	3.21		
2000	Gbwinter	NMFS spring BTS	4.25	3.55		
2001	Gbwinter	NMFS spring BTS	1.25	1.16		
2002	Gbwinter	NMFS spring BTS	4.73	4.82		
2003	Gbwinter	NMFS spring BTS	1.22	1.3		
2004	Gbwinter	NMFS spring BTS	0.42	0.51		
2005	Gbwinter	NMFS spring BTS	1	0.8		
2006	Gbwinter	NMFS spring BTS	0.58	0.49		
2007	Gbwinter	NMFS spring BTS	0.75	0.68		
2008	Gbwinter	NMFS spring BTS	7.35	5.42		
2009	Gbwinter	NMFS spring BTS	2.68	1.36		
2010	Gbwinter	NMFS spring BTS	2.08	1.36		
2011	Gbwinter	NMFS spring BTS	1.86	1.15		
2012	Gbwinter	NMFS spring BTS	2.6	2.01		
2013	Gbwinter	NMFS spring BTS	3.37	2.55		
2014	Gbwinter	NMFS spring BTS	4.345	3.45		
2015	Gbwinter	NMFS spring BTS	0.55	0.51		
1968	Gbwinter	NMFS fall BTS	1.92	1.83		
1969	Gbwinter	NMFS fall BTS	2.59	2.53		
1970	Gbwinter	NMFS fall BTS	7.02	7.73		
1971	Gbwinter	NMFS fall BTS	1.53	1.32		
1972	Gbwinter	NMFS fall BTS	1.64	1.56		
1973	Gbwinter	NMFS fall BTS	2.56	2.3		
1974	Gbwinter	NMFS fall BTS	1.36	1.55		
1975	Gbwinter	NMFS fall BTS	3.74	2.09		
1976	Gbwinter	NMFS fall BTS	5.52	3.63		
1977	Gbwinter	NMFS fall BTS	4.81	3.97		
1978	Gbwinter	NMFS fall BTS	4.22	3.47		
1979	Gbwinter	NMFS fall BTS	5.06	4.08		
1980	Gbwinter	NMFS fall BTS	2.03	2.32		
1981	Gbwinter	NMFS fall BTS	5.5	4.41		
1982	Gbwinter	NMFS fall BTS	5.61	3.32		
1983	Gbwinter	NMFS fall BTS	3.03	2.89		
1984	Gbwinter	NMFS fall BTS	4.9	3.28		
1985	Gbwinter	NMFS fall BTS	1.98	1.18		
1986	Gbwinter	NMFS fall BTS	3.31	2		
1987	Gbwinter	NMFS fall BTS	0.96	1.03		
1988	Gbwinter	NMFS fall BTS	3.9	1.29		
1989	Gbwinter	NMFS fall BTS	1.43	0.96		
1990	Gbwinter	NMFS fall BTS	0.51	0.34		
1991	Gbwinter	NMFS fall BTS	0.31	0.24		
1992	Gbwinter	NMFS fall BTS	0.69	0.38		
1993	Gbwinter	NMFS fall BTS	1.22	0.78		
1994	Gbwinter	NMFS fall BTS	0.85	0.56		
1995	Gbwinter	NMFS fall BTS	2.74	1.62		
1996	Gbwinter	NMFS fall BTS	1.48	1.68		
1997	Gbwinter	NMFS fall BTS	1.78	1.55		
1998	Gbwinter	NMFS fall BTS	3.5	3.4		
1999	Gbwinter	NMFS fall BTS	2.45	2.47		
2000	Gbwinter	NMFS fall BTS	4.6	4.82		
2001	Gbwinter	NMFS fall BTS	6.08	4.85		
2002	Gbwinter	NMFS fall BTS	4.67	5.6		
2003	Gbwinter	NMFS fall BTS	2.36	2.96		
2004	Gbwinter	NMFS fall BTS	5.01	4.06		
2005	Gbwinter	NMFS fall BTS	1.94	2.11		
2006	Gbwinter	NMFS fall BTS	1.36	1.42		
2007	Gbwinter	NMFS fall BTS	2.13	2		
2008	Gbwinter	NMFS fall BTS	4.58	2.7		
2009	Gbwinter	NMFS fall BTS	6.58	5.2		
2010	Gbwinter	NMFS fall BTS	2.382	1.83		
2011	Gbwinter	NMFS fall BTS	5.48	4.64		
2012	Gbwinter	NMFS fall BTS	5.24	4.44		
2013	Gbwinter	NMFS fall BTS	2.11	1.9		
2014	Gbwinter	NMFS fall BTS	0.69	0.7		
2015	Gbwinter	NMFS fall BTS	0.74	NA		
1968	scup	NMFS spring BTS	59.21	2.26		
1969	scup	NMFS spring BTS	2.24	0.4		
1970	scup	NMFS spring BTS	70.87	3.4		
1971	scup	NMFS spring BTS	68.44	3.54		
1972	scup	NMFS spring BTS	49.73	2.6		
1973	scup	NMFS spring BTS	3.59	1.19		
1974	scup	NMFS spring BTS	30.26	3.24		
1975	scup	NMFS spring BTS	14.01	3.12		
1976	scup	NMFS spring BTS	4.04	0.63		
1977	scup	NMFS spring BTS	42.46	4.48		
1978	scup	NMFS spring BTS	39.85	3.49		
1979	scup	NMFS spring BTS	22.42	1.95		
1980	scup	NMFS spring BTS	9.31	1.31		
1981	scup	NMFS spring BTS	14.72	1.16		
1982	scup	NMFS spring BTS	7.88	1.16		
1983	scup	NMFS spring BTS	0.74	0.03		
1984	scup	NMFS spring BTS	8.51	0.51		
1985	scup	NMFS spring BTS	14.64	0.8		
1986	scup	NMFS spring BTS	11.74	1.3		
1987	scup	NMFS spring BTS	10.82	1.21		
1988	scup	NMFS spring BTS	25.41	1.26		
1989	scup	NMFS spring BTS	1.62	0.12		
1990	scup	NMFS spring BTS	1.15	0.39		
1991	scup	NMFS spring BTS	12.6	0.75		
1992	scup	NMFS spring BTS	6.71	0.4		
1993	scup	NMFS spring BTS	2.83	0.33		
1994	scup	NMFS spring BTS	1.5	0.09		
1995	scup	NMFS spring BTS	2.88	0.22		
1996	scup	NMFS spring BTS	0.52	0.03		
1997	scup	NMFS spring BTS	0.9	0.11		
1998	scup	NMFS spring BTS	40.04	0.87		
1999	scup	NMFS spring BTS	1.67	0.12		
2000	scup	NMFS spring BTS	6.62	0.33		
2001	scup	NMFS spring BTS	13.03	0.8		
2002	scup	NMFS spring BTS	154.86	13.46		
2003	scup	NMFS spring BTS	6.01	0.28		
2004	scup	NMFS spring BTS	57.58	2.84		
2005	scup	NMFS spring BTS	19.22	0.55		
2006	scup	NMFS spring BTS	5.71	2.1		
2007	scup	NMFS spring BTS	10.6	0.36		
2008	scup	NMFS spring BTS	9.68	1.44		
2009	scup	NMFS spring BTS	7.02	0.58		
2010	scup	NMFS spring BTS	18.66	2.71		
2011	scup	NMFS spring BTS	15.64	0.54		
2012	scup	NMFS spring BTS	34.39	1.43		
2013	scup	NMFS spring BTS	18.15	1.27		
2014	scup	NMFS spring BTS	48.32	13.57		
1968	scup	NMFS fall BTS	14.27	0.55		
1969	scup	NMFS fall BTS	100.27	4.51		
1970	scup	NMFS fall BTS	10.27	0.22		
1971	scup	NMFS fall BTS	7.55	0.25		
1972	scup	NMFS fall BTS	39.73	2.34		
1973	scup	NMFS fall BTS	22.75	0.93		
1974	scup	NMFS fall BTS	9.75	1		
1975	scup	NMFS fall BTS	52	3.4		
1976	scup	NMFS fall BTS	161.09	7.35		
1977	scup	NMFS fall BTS	32.64	1.71		
1978	scup	NMFS fall BTS	12.17	1.32		
1979	scup	NMFS fall BTS	15.73	0.61		
1980	scup	NMFS fall BTS	11.04	0.92		
1981	scup	NMFS fall BTS	67.11	3.01		
1982	scup	NMFS fall BTS	25.47	1.17		
1983	scup	NMFS fall BTS	4.59	0.34		
1984	scup	NMFS fall BTS	24.02	1.22		
1985	scup	NMFS fall BTS	68.3	3.56		
1986	scup	NMFS fall BTS	46.19	1.66		
1987	scup	NMFS fall BTS	5.75	0.15		
1988	scup	NMFS fall BTS	5.75	0.09		
1989	scup	NMFS fall BTS	94.05	3.37		
1990	scup	NMFS fall BTS	16.53	0.83		
1991	scup	NMFS fall BTS	9.52	0.43		
1992	scup	NMFS fall BTS	16.17	1.12		
1993	scup	NMFS fall BTS	0.41	0.04		
1994	scup	NMFS fall BTS	3.52	0.11		
1995	scup	NMFS fall BTS	24.7	0.91		
1996	scup	NMFS fall BTS	4.46	0.23		
1997	scup	NMFS fall BTS	16.92	0.88		
1998	scup	NMFS fall BTS	25.35	0.69		
1999	scup	NMFS fall BTS	85.16	2.07		
2000	scup	NMFS fall BTS	99.31	4.79		
2001	scup	NMFS fall BTS	20.28	1.11		
2002	scup	NMFS fall BTS	95.62	3.79		
2003	scup	NMFS fall BTS	28.18	0.79		
2004	scup	NMFS fall BTS	10.38	0.27		
2005	scup	NMFS fall BTS	4.5	0.07		
2006	scup	NMFS fall BTS	96.41	1.92		
2007	scup	NMFS fall BTS	41.52	2.21		
2008	scup	NMFS fall BTS	38.49	1.38		
2009	scup	NMFS fall BTS	92.97	2.76		
2010	scup	NMFS fall BTS	37.63	4.51		
2011	scup	NMFS fall BTS	54.93	2		
2012	scup	NMFS fall BTS	86.54	4.91		
2013	scup	NMFS fall BTS	17	1.34		
2014	scup	NMFS fall BTS	66.16	1.95		
1965	herring	NMFS spring BTS	NA	NA		
1966	herring	NMFS spring BTS	NA	NA		
1967	herring	NMFS spring BTS	NA	NA		
1968	herring	NMFS spring BTS	26.9137	3.3618		
1969	herring	NMFS spring BTS	11.1475	2.0375		
1970	herring	NMFS spring BTS	8.2279	0.654		
1971	herring	NMFS spring BTS	1.8146	0.2292		
1972	herring	NMFS spring BTS	2.8563	0.2551		
1973	herring	NMFS spring BTS	8.2686	1.4914		
1974	herring	NMFS spring BTS	5.6599	0.8329		
1975	herring	NMFS spring BTS	1.1519	0.2027		
1976	herring	NMFS spring BTS	1.101	0.2408		
1977	herring	NMFS spring BTS	1.0327	0.1817		
1978	herring	NMFS spring BTS	3.0605	0.3511		
1979	herring	NMFS spring BTS	5.4829	0.7951		
1980	herring	NMFS spring BTS	6.2321	1.0643		
1981	herring	NMFS spring BTS	2.1898	0.6752		
1982	herring	NMFS spring BTS	0.6042	0.0716		
1983	herring	NMFS spring BTS	0.3991	0.0549		
1984	herring	NMFS spring BTS	2.8301	0.1389		
1985	herring	NMFS spring BTS	3.9687	0.291		
1986	herring	NMFS spring BTS	34.4579	3.3973		
1987	herring	NMFS spring BTS	7.76	1.0714		
1988	herring	NMFS spring BTS	14.32	1.7475		
1989	herring	NMFS spring BTS	9.7	2.4677		
1990	herring	NMFS spring BTS	9.34	1.7706		
1991	herring	NMFS spring BTS	23.61	4.5389		
1992	herring	NMFS spring BTS	36.32	2.7973		
1993	herring	NMFS spring BTS	72.25	7.6542		
1994	herring	NMFS spring BTS	34.7	6.8979		
1995	herring	NMFS spring BTS	28.1	3.0813		
1996	herring	NMFS spring BTS	64.92	3.8939		
1997	herring	NMFS spring BTS	66.92	4.2553		
1998	herring	NMFS spring BTS	51.69	4.9068		
1999	herring	NMFS spring BTS	86.92	9.7193		
2000	herring	NMFS spring BTS	33.28	2.9165		
2001	herring	NMFS spring BTS	35.07	3.3517		
2002	herring	NMFS spring BTS	27.27	2.694		
2003	herring	NMFS spring BTS	17.85	3.4646		
2004	herring	NMFS spring BTS	47.87	2.2238		
2005	herring	NMFS spring BTS	19.68	1.487		
2006	herring	NMFS spring BTS	27.15	2.8911		
2007	herring	NMFS spring BTS	17.12	1.7208		
2008	herring	NMFS spring BTS	16.66	2.0213		
2009	herring	NMFS spring BTS	29.71	2.139154616		
2010	herring	NMFS spring BTS	88.7	1.903040415		
2011	herring	NMFS spring BTS	112.16	3.980163144		
2012	herring	NMFS spring BTS	27.34	1.693715239		
2013	herring	NMFS spring BTS	56.44	2.163793103		
2014	herring	NMFS spring BTS	36.01	2.247033741		
1965	herring	NMFS fall BTS	2.72	0.595		
1966	herring	NMFS fall BTS	6.03	1.3121		
1967	herring	NMFS fall BTS	1.97	0.4192		
1968	herring	NMFS fall BTS	0.76	0.1306		
1969	herring	NMFS fall BTS	0.38	0.0691		
1970	herring	NMFS fall BTS	0.34	0.0473		
1971	herring	NMFS fall BTS	1.74	0.3596		
1972	herring	NMFS fall BTS	0.51	0.0647		
1973	herring	NMFS fall BTS	0.06	0.007		
1974	herring	NMFS fall BTS	0.11	0.0201		
1975	herring	NMFS fall BTS	0.53	0.1262		
1976	herring	NMFS fall BTS	0.12	0.0267		
1977	herring	NMFS fall BTS	0.06	0.0104		
1978	herring	NMFS fall BTS	0.49	0.1881		
1979	herring	NMFS fall BTS	0.04	0.0051		
1980	herring	NMFS fall BTS	0.01	0.0024		
1981	herring	NMFS fall BTS	0.01	0.0029		
1982	herring	NMFS fall BTS	0.1	0.0231		
1983	herring	NMFS fall BTS	0.17	0.0376		
1984	herring	NMFS fall BTS	1.04	0.2634		
1985	herring	NMFS fall BTS	2.18	0.4665		
1986	herring	NMFS fall BTS	1.05	0.1936		
1987	herring	NMFS fall BTS	10.69	1.7735		
1988	herring	NMFS fall BTS	12.51	2.5386		
1989	herring	NMFS fall BTS	15.96	5.2342		
1990	herring	NMFS fall BTS	15.72	3.4039		
1991	herring	NMFS fall BTS	23.32	6.1516		
1992	herring	NMFS fall BTS	63.5	10.3995		
1993	herring	NMFS fall BTS	18.89	5.2316		
1994	herring	NMFS fall BTS	15.35	2.4213		
1995	herring	NMFS fall BTS	78.44	14.7538		
1996	herring	NMFS fall BTS	42.19	5.2205		
1997	herring	NMFS fall BTS	41.42	5.4717		
1998	herring	NMFS fall BTS	23.19	3.1974		
1999	herring	NMFS fall BTS	15.15	2.0646		
2000	herring	NMFS fall BTS	23.21	3.5732		
2001	herring	NMFS fall BTS	28.42	4.1467		
2002	herring	NMFS fall BTS	86.83	12.075		
2003	herring	NMFS fall BTS	38.58	7.0111		
2004	herring	NMFS fall BTS	45.73	5.6635		
2005	herring	NMFS fall BTS	28.79	3.8563		
2006	herring	NMFS fall BTS	31.63	3.9063		
2007	herring	NMFS fall BTS	25.76	3.5554		
2008	herring	NMFS fall BTS	25.65	3.4466		
2009	herring	NMFS fall BTS	57.62	4.749384615		
2010	herring	NMFS fall BTS	26.89	2.255589744		
2011	herring	NMFS fall BTS	50.024	3.404871795		
2012	herring	NMFS fall BTS	39.39	3.831230769		
2013	herring	NMFS fall BTS	41.37	4.527641026		
2014	herring	NMFS fall BTS	56.73	6.383692308		
1968	GOMhaddock	NMFS spring BTS	6.066	8.107		
1969	GOMhaddock	NMFS spring BTS	3.719	6.607		
1970	GOMhaddock	NMFS spring BTS	0.906	1.784		
1971	GOMhaddock	NMFS spring BTS	0.878	2.523		
1972	GOMhaddock	NMFS spring BTS	0.862	0.882		
1973	GOMhaddock	NMFS spring BTS	1.312	1.623		
1974	GOMhaddock	NMFS spring BTS	1.437	1.061		
1975	GOMhaddock	NMFS spring BTS	2.77	3.482		
1976	GOMhaddock	NMFS spring BTS	8.326	6.35		
1977	GOMhaddock	NMFS spring BTS	6.799	6.725		
1978	GOMhaddock	NMFS spring BTS	1.356	1.434		
1979	GOMhaddock	NMFS spring BTS	2.87	3.878		
1980	GOMhaddock	NMFS spring BTS	2.212	2.672		
1981	GOMhaddock	NMFS spring BTS	3.612	3.545		
1982	GOMhaddock	NMFS spring BTS	2.047	2.555		
1983	GOMhaddock	NMFS spring BTS	3.678	3.571		
1984	GOMhaddock	NMFS spring BTS	1.095	1.144		
1985	GOMhaddock	NMFS spring BTS	1.773	1.882		
1986	GOMhaddock	NMFS spring BTS	0.707	1.284		
1987	GOMhaddock	NMFS spring BTS	0.092	0.062		
1988	GOMhaddock	NMFS spring BTS	0.187	0.301		
1989	GOMhaddock	NMFS spring BTS	0.083	0.124		
1990	GOMhaddock	NMFS spring BTS	0.024	0.001		
1991	GOMhaddock	NMFS spring BTS	0.074	0.066		
1992	GOMhaddock	NMFS spring BTS	0.193	0.272		
1993	GOMhaddock	NMFS spring BTS	0.45	0.204		
1994	GOMhaddock	NMFS spring BTS	0.402	0.255		
1995	GOMhaddock	NMFS spring BTS	0.806	0.351		
1996	GOMhaddock	NMFS spring BTS	0.305	0.338		
1997	GOMhaddock	NMFS spring BTS	1.935	1.223		
1998	GOMhaddock	NMFS spring BTS	0.197	0.113		
1999	GOMhaddock	NMFS spring BTS	4.267	1.109		
2000	GOMhaddock	NMFS spring BTS	3.61	1.815		
2001	GOMhaddock	NMFS spring BTS	2.364	3.205		
2002	GOMhaddock	NMFS spring BTS	5.704	2.793		
2003	GOMhaddock	NMFS spring BTS	3.191	3.908		
2004	GOMhaddock	NMFS spring BTS	1.061	1.199		
2005	GOMhaddock	NMFS spring BTS	0.862	0.971		
2006	GOMhaddock	NMFS spring BTS	3.151	2.661		
2007	GOMhaddock	NMFS spring BTS	0.77	0.675		
2008	GOMhaddock	NMFS spring BTS	1.689	1.394		
2009	GOMhaddock	NMFS spring BTS	1.531	2.573		
2010	GOMhaddock	NMFS spring BTS	1.63	3.713		
2011	GOMhaddock	NMFS spring BTS	1.233	1.259		
2012	GOMhaddock	NMFS spring BTS	2.978	2.926		
2013	GOMhaddock	NMFS spring BTS	12.38	6.221		
2014	GOMhaddock	NMFS spring BTS	11.048	8.646		
1968	GOMhaddock	NMFS fall BTS	8.564	17.307		
1969	GOMhaddock	NMFS fall BTS	5.451	12.721		
1970	GOMhaddock	NMFS fall BTS	2.918	7.354		
1971	GOMhaddock	NMFS fall BTS	2.879	8.159		
1972	GOMhaddock	NMFS fall BTS	1.984	3.05		
1973	GOMhaddock	NMFS fall BTS	4.165	8.591		
1974	GOMhaddock	NMFS fall BTS	2.687	3.347		
1975	GOMhaddock	NMFS fall BTS	5.533	8.618		
1976	GOMhaddock	NMFS fall BTS	6.035	8.041		
1977	GOMhaddock	NMFS fall BTS	8.296	8.755		
1978	GOMhaddock	NMFS fall BTS	9.775	21.659		
1979	GOMhaddock	NMFS fall BTS	6.174	15.568		
1980	GOMhaddock	NMFS fall BTS	7.152	9.836		
1981	GOMhaddock	NMFS fall BTS	4.456	10.874		
1982	GOMhaddock	NMFS fall BTS	2.627	4.164		
1983	GOMhaddock	NMFS fall BTS	2.598	5.219		
1984	GOMhaddock	NMFS fall BTS	1.696	3.893		
1985	GOMhaddock	NMFS fall BTS	4.079	6.149		
1986	GOMhaddock	NMFS fall BTS	0.623	1.392		
1987	GOMhaddock	NMFS fall BTS	1.035	2.646		
1988	GOMhaddock	NMFS fall BTS	0.335	1.476		
1989	GOMhaddock	NMFS fall BTS	0.283	0.631		
1990	GOMhaddock	NMFS fall BTS	0.145	0.432		
1991	GOMhaddock	NMFS fall BTS	0.142	0.12		
1992	GOMhaddock	NMFS fall BTS	0.211	0.092		
1993	GOMhaddock	NMFS fall BTS	0.866	0.474		
1994	GOMhaddock	NMFS fall BTS	0.325	0.218		
1995	GOMhaddock	NMFS fall BTS	0.977	1.099		
1996	GOMhaddock	NMFS fall BTS	2.407	3.543		
1997	GOMhaddock	NMFS fall BTS	2.688	2.424		
1998	GOMhaddock	NMFS fall BTS	3.13	2.92		
1999	GOMhaddock	NMFS fall BTS	6.73	4.91		
2000	GOMhaddock	NMFS fall BTS	16.589	14.033		
2001	GOMhaddock	NMFS fall BTS	9.96	11.981		
2002	GOMhaddock	NMFS fall BTS	3.92	4.835		
2003	GOMhaddock	NMFS fall BTS	4.733	5.359		
2004	GOMhaddock	NMFS fall BTS	5.704	7.171		
2005	GOMhaddock	NMFS fall BTS	4.132	3.932		
2006	GOMhaddock	NMFS fall BTS	3.91	3.945		
2007	GOMhaddock	NMFS fall BTS	5.153	4.393		
2008	GOMhaddock	NMFS fall BTS	2.266	3.146		
2009	GOMhaddock	NMFS fall BTS	2.017	1.203		
2010	GOMhaddock	NMFS fall BTS	2.662	1.339		
2011	GOMhaddock	NMFS fall BTS	4.898	4.145		
2012	GOMhaddock	NMFS fall BTS	5.397	2.88		
2013	GOMhaddock	NMFS fall BTS	36.088	12.571		
2014	GOMhaddock	NMFS fall BTS	51.819	37.651		
1968	mackerel	NMFS spring BTS	43.36	3.43		
1969	mackerel	NMFS spring BTS	0.30	0.04		
1970	mackerel	NMFS spring BTS	5.76	1.36		
1971	mackerel	NMFS spring BTS	7.71	1.95		
1972	mackerel	NMFS spring BTS	5.21	0.96		
1973	mackerel	NMFS spring BTS	41.74	13.44		
1974	mackerel	NMFS spring BTS	4.45	1.32		
1975	mackerel	NMFS spring BTS	4.52	0.29		
